2025-06-04 18:08:40,532 - INFO - Publish to Torino_IotSmartFarm/Lingotto/Area_A/Position_01/Temperature/9f42a1c3 - {'bn': 'Torino_IotSmartFarm/Lingotto/Area_A/Position_01/Temperature/9f42a2025-06-04 18:16:22,579 - WARNING - Disconnected normally.
.5327175, 'v': 21.1}]}
2025-06-04 18:08:40,533 - INFO - Publish to Torino_IotSmartFarm/Lingotto/Area_B/Position_01/Light_Intensity/f47ac10b - {2025-06-04 18:08:40,932 - INFO - Publish to Torino_IotSmartFarm/Lingotto/Area_B/Position_06/CO2_Concentration/9947c72f/Exhaust_Fan - {'bn': 'Torino_IotSmartFarm/Lingotto/Area_B/Position_06/CO2_Concentration/9947c72f/Exhaust_Fan', 'e': [{'n': 'Exhaust_Fan', 'u': 'ppm', 't': 1749053320.9311867, 'v': False}]}
2025-06-04 18:08:40,932 - INFO - Publish to Torino_IotSmartFarm/Lingotto/Area_C/Position_05/So2025-06-04 18:08:50,231 - INFO - Publish to Torino_IotSmartFarm/Lingotto/Area_B/Position_03/CO2_Concentration/faf26dec/Exhaust_Fan/7e2e63ef/statusChanged - {'bn': 'Torino_IotSmartFarm/Lingotto/Area_B/Position_03/CO2_Concentration/faf26dec/Exhaust_Fan/7e2e63ef/statusChanged', 'e': [{'n': 'Exhaust_Fan', 'u': ' ', 't': 1749053330.2310967, 'v': False}]}
2025-06-04 18:08:54,243 - INFO - Publish to Torino_IotSmartFarm/Lingotto/Area_B/Position_01/Light_Intensity/f47ac10b/Sunshade_Net/f89cd694/statusChanged - {'bn': 'Torino_IotSmartFarm/Lingotto/Area_B/Position_01/Light_Intensity/f47ac10b/Sunshade_Net/f89cd694/statusChanged', 'e': [{'n': 'Sunshade_Net', 'u': ' ', 't': 1749053334.243436, 'v': False}]}
2025-06-04 18:08:54,334 - INFO - Publish to Torino_IotSmartFarm/Lingotto/Area_A/Position_02/Temperature/d559dc98/Heater/fe3a3799/statusChanged - {'bn': 'Torino_IotSmartFarm/Lingotto/Area_A/Position_02/Temperature/d559dc98/Heater/fe3a3799/statusChanged', 'e': [{'n': 'Heater', 'u': ' ', 't': 1749053334.3349862, 'v': False}]}
2025-06-04 18:08:58,321 - INFO - Publish to Torino_IotSmartFarm/Lingotto/Area_B/Position_03/Light_Intensity/c3d47900/LED_Light/b6c46f2c/statusChanged - {'bn': 'Torino_IotSmartFarm/Lingotto/Area_B/Position_03/Light_Intensity/c3d47900/LED_Light/b6c46f2c/statusChanged', 'e': [{'n': 'LED_Light', 'u': ' ', 't': 1749053338.321109, 'v': False}]}
2025-06-04 18:09:00,322 - INFO - Publish to Torino_IotSmartFarm/Lingotto/Area_B/Position_06/CO2_Concentration/9947c72f/Carbon_Dioxide_Generator/baf49b45/statusChanged - {'bn': 'Torino_IotSmartFarm/Lingotto/Area_B/Position_06/CO2_Concentration/9947c72f/Carbon_Dioxide_Generator/baf49b45/statusChanged', 'e': [{'n': 'Carbon_Dioxide_Generator', 'u': ' ', 't': 1749053340.3211124, 'v': False}]}
2025-06-04 18:09:02,230 - INFO - Publish to Torino_IotSmartFarm/Lingotto/Area_A/Position_01/Temperature/9f42a1c3/Cooler/d0676e7b/statusChanged - {'bn': 'Torino_IotSmartFarm/Lingotto/Area_A/Position_01/Temperature/9f42a1c3/Cooler/d0676e7b/statusChanged', 'e': [{'n': 'Cooler', 'u': ' ', 't': 1749053342.2302494, 'v': False}]}
2025-06-04 18:09:04,260 - INFO - Publish to Torino_IotSmartFarm/Lingotto/Area_D/Position_01/Soil_Moisture/a8830d33/Drip_Irrigation_Pipe/a3f7c79f/statusChanged - {'bn': 'Torino_IotSmartFarm/Lingotto/Area_D/Position_01/Soil_Moisture/a8830d33/Drip_Irrigation_Pipe/a3f7c79f/statusChanged', 'e': [{'n': 'Drip_Irrigation_Pipe', 'u': ' ', 't': 1749053344.2604067, 'v': False}]}
2025-06-04 18:13:04,075 - INFO - subscribed to PoliTO_IotSmartFarm/Dggg/+/+/Cooler
2025-06-04 18:13:29,678 - WARNING - Disconnected normally.
to Torino_IotSmartFarm/Lingotto/Area_B/Position_03/Temperature/580f8d2d - {'bn': 'Torino_IotSmartFarm/Lingotto/Area_B/Position_03/Temperature/580f8d2d', 'e': [{'n': 'Temperature', 'u': 'Cel', 't': 1749053328.5442798, 'v': 32.7}]}
2025-06-04 18:08:49,545 - INFO - Publish to Torino_IotSmartFarm/Lingotto/Area_A/Position_02/Soil_Moisture/203045fb - {'bn': 'Torino_IotSmartFarm/Lingotto/Area_A/Position_02/Soil_Moisture/203045fb', 'e': [{'n': 'Soil_Moisture', 'u': '%', 't': 1749053329.5440168, 'v': 13.2}]}
2025-06-04 18:08:49,545 - INFO - Publish to Torino_IotSmartFarm/Lingotto/Area_B/Position_03/CO2_Concentration/faf26dec - {'bn': 'Torino_IotSmartFarm/Lingotto/Area_B/Position_03/CO2_Concentration/faf26dec', 'e': [{'n': 'CO2_Concentration', 'u': 'ppm', 't': 1749053329.5440168, 'v': 677.0}]}
2025-06-04 18:08:51,547 - INFO - Publish to Torino_IotSmartFarm/Lingotto/Area_B/Position_02/CO2_Concentration/4b1e9d2f - {'bn': 'Torino_IotSmartFarm/Lingotto/Area_B/Position_02/CO2_Concentration/4b1e9d2f', 'e': [{'n': 'CO2_Concentration', 'u': 'ppm', 't': 1749053331.5479023, 'v': 964.0}]}
2025-06-04 18:08:53,546 - INFO - Publish to Torino_IotSmartFarm/Lingotto/Area_B/Position_01/Light_Intensity/f47ac10b - {'bn': 'Torino_IotSmartFarm/Lingotto/Area_B/Position_01/Light_Intensity/f47ac10b', 'e': [{'n': 'Light_Intensity', 'u': 'lx', 't': 1749053333.5462792, 'v': 573.0}]}
2025-06-04 18:08:53,547 - INFO - Publish to Torino_IotSmartFarm/Lingotto/Area_A/Position_02/Temperature/d559dc98 - {'bn': 'Torino_IotSmartFarm/Lingotto/Area_A/Position_02/Temperature/d559dc98', 'e': [{'n': 'Temperature', 'u': 'Cel', 't': 1749053333.5462792, 'v': 24.9}]}
2025-06-04 18:08:53,548 - INFO - Publish to Torino_IotSmartFarm/Lingotto/Area_C/Position_05/Soil_Moisture/ffee552a - {'bn': 'Torino_IotSmartFarm/Lingotto/Area_C/Position_05/Soil_Moisture/ffee552a', 'e': [{'n': 'Soil_Moisture', 'u': '%', 't': 1749053333.5472832, 'v': 71.9}]}
2025-06-04 18:08:54,542 - INFO - Publish to Torino_IotSmartFarm/Lingotto/Area_C/Position_03/Soil_Moisture/a7b8c6d4 - {'bn': 'Torino_IotSmartFarm/Lingotto/Area_C/Position_03/Soil_Moisture/a7b8c6d4', 'e': [{'n': 'Soil_Moisture', 'u': '%', 't': 1749053334.54282, 'v': 68.4}]}
